濛	蒙
濜	浕
濟	济
濤	涛
濫	滥
濬	浚
濰	潍
濱	滨
濶	阔
濺	溅
濼	泺
濾	滤
瀂	澛
瀅	滢
瀆	渎
瀉	泻
瀋	沈
瀏	浏
瀕	濒
瀘	泸
瀝	沥
瀟	潇
瀠	潆
瀦	潴
瀧	泷
瀨	濑
瀰	弥
瀲	潋
瀾	澜
灃	沣
灄	滠
灋	法
灑	洒
灕	漓
灘	滩
灝	灏
灣	湾
灤	滦
灧	滟
灨	赣
灩	滟
災	灾
炤	照
為	为
烏	乌
烖	灾
烱	炯
烴	烃
無	无
煇	辉
煉	炼
煑	煮
煒	炜
煖	暖
煗	暖
煙	烟
煢	茕
煥	焕
煩	烦
煬	炀
熅	煴
熈	熙
熒	荧
熗	炝
熰	𬉼
熱	热
熲	颎
熾	炽
燀	𬊤
燁	烨
燄	焰
燈	灯
燉	炖
燐	磷
燒	烧
燖	𬊈
燙	烫
燜	焖
營	营
燦	灿
燬	毁
燭	烛
燴	烩
燻	熏
燼	烬
燾	焘
燿	耀
爍	烁
爐	炉
爕	燮
爗	烨
爛	烂
爭	争
爲	为
爺	爷
爾	尔
牀	床
牆	墙
牋	笺
牎	窗
牐	闸
牓	榜
牕	窗
牘	牍
牠	它
牴	抵
牽	牵
犂	犁
犇	犇 奔
犖	荦
犛	牦
犢	犊
犧	牺
狀	状
狥	徇
狹	狭
狽	狈
猂	悍
猙	狰
猨	猿
猶	犹
猻	狲
獁	犸
獃	呆
獄	狱
獅	狮
獋	嗥
獎	奖
獘	毙
獧	狷
獨	独
獪	狯
獫	猃
獮	狝
獰	狞
獲	获
獵	猎
獷	犷
獸	兽
獺	獭
獻	献
獼	猕
玀	猡
玅	妙
珎	珍
現	现
琍	璃
琖	盏
琱	雕
琹	琴
琺	珐
琿	珲
瑇	玳
瑋	玮
瑒	玚
瑠	琉
瑣	琐
瑤	瑶
瑩	莹
瑪	玛
瑯	琅
瑲	玱
璉	琏
璊	𫞩
璕	𬍤
璗	𬍡
璡	琎
璢	琉
璣	玑
璦	瑷
璫	珰
環	环
璵	玙
璽	玺
璿	璇
瓅	𬍛
瓈	璃
瓊	琼
瓌	瑰
瓏	珑
瓔	璎
瓚	瓒
瓛	𤩽
甌	瓯
甎	砖
甕	瓮
甖	罂
甞	尝
產	产
産	产
甦	苏 甦
